;MPP;;;;NCS;;;TRYKNET;VISIOLINK;;;
1. udg.;Produkt;Edition;Sektion;Avis;Kategori;Kanal;Kanalnavn NCS;Filnavn til tryk;Filnavn til E-Paper;FTP-mappe;Kommentar;Asura Inksave
;;;;;;;;;;;;
24.11.16;HO2;E1;A - B;Tillæg Holstebro Onsdag;HOA Tillæg 2;HOA;;HO2JFM0T2906161111028.pdf;;HOA-S;;
24.11.16;HO4;E1;A - B;Tillæg Holstebro Onsdag Trimmet;HOA Tillæg 2;HOA;;HO4JFM0S2906161111028.pdf;;HOA-S;;
24.11.16;HOQ;;;Holstebro Onsdag Øvrige Formater;;;;Ekstern tryk;;;;
24.11.16;HOB;;;Lokalen Holstebro;;HOB;;;;HOB;Ingen NCS kategori;
24.11.16;LOL;E1;A - B;Lokalavisen Lemvig;LOL;LOL;;LOLJFM0T2906161111028.pdf;;LOL;;
24.11.16;LL2;E1;A - B;Tillæg Lokalavisen Lemvig;LOL Tillæg;LOL;;LL2JFM0T2906161111028.pdf;;LOL-S;;
24.11.16;LL4;E1;A - B;Tillæg Lokalavisen Lemvig Trimmet;LOL Tillæg;LOL;;LL4JFM0S2906161111028.pdf;;LOL-S;;
24.11.16;LEQ;;;Lokalavisen Lemvig Øvrige Formater;;;;Ekstern tryk;;;;
24.11.16;MAA;E1;A - B;Mariager Avis;MAA;MAA;;MAAJFM0T2906161111028.pdf;;MAA;;
24.11.16;MA2;E1;A - B;Tillæg Mariager Avis;MAA Tillæg;MAA;;MA2JFM0T2906161111028.pdf;;MAA-S;;
24.11.16;MA4;E1;A - B;Tillæg Mariager Avis Trimmet;MAA Tillæg;MAA;;MA4JFM0S2906161111028.pdf;;MAA-S;;
24.11.16;MAQ;;;Mariager Avis Øvrige Formater;;;;Ekstern tryk;;;;
24.11.16;RAO;E1;A - B;Randers Onsdag;RAO;RAO;;RAOJFM0T2906161111028.pdf;;RAO;;
24.11.16;RA2;E1;A - B;Tillæg Randers Onsdag;RAO Tillæg;RAO;;RA2JFM0T2906161111028.pdf;;RAO-S;;
24.11.16;RA4;E1;A - B;Tillæg Randers Onsdag Trimmet;RAO Tillæg;RAO;;RA4JFM0S2906161111028.pdf;;RAO-S;;
24.11.16;RAQ;;;Randers Onsdag Øvrige Formater;;;;Ekstern tryk;;;;
24.11.16;SUP;E1;A - B;Ugeposten Skjern;SUP;SUP;;SUPJFM0T2906161111028.pdf;;SUP;;
24.11.16;SU2;E1;A - B;Tillæg Ugeposten Skjern;SUP Tillæg;SUP;;SU2JFM0T2906161111028.pdf;;SUP-S;;
